id,status,duration,start_date,start_station,end_date
7576,Closed,1376,05-08-2011 13:32,42,05-08-2011 13:55
7607,Closed,636,05-08-2011 13:57,48,05-08-2011 14:08
7647,Closed,696,05-08-2011 14:19,24,05-08-2011 14:31
7737,Closed,1686,05-08-2011 15:27,52,05-08-2011 15:55
7758,Closed,1448,05-08-2011 15:40,15,05-08-2011 16:04
7831,Closed,439,05-08-2011 16:09,47,05-08-2011 16:16
7859,Closed,688,05-08-2011 16:24,14,05-08-2011 16:35
7866,Closed,3040,05-08-2011 16:28,38,05-08-2011 17:19
7884,Closed,660,05-08-2011 16:41,49,05-08-2011 16:52
7895,Closed,974,05-08-2011 16:45,39,05-08-2011 17:02
7911,Closed,792,05-08-2011 16:49,24,05-08-2011 17:02
7920,Closed,1368,05-08-2011 16:53,38,05-08-2011 17:16
7939,Closed,1025,05-08-2011 16:59,22,05-08-2011 17:16
7952,Closed,3575,05-08-2011 17:04,3,05-08-2011 18:04
7961,Closed,279,05-08-2011 17:06,33,05-08-2011 17:10
7964,Closed,1157,05-08-2011 17:05,46,05-08-2011 17:25
7996,Closed,592,05-08-2011 17:13,31,05-08-2011 17:23
8027,Closed,528,05-08-2011 17:22,18,05-08-2011 17:32
8081,Closed,1544,05-08-2011 17:40,43,05-08-2011 18:06
8182,Closed,714,05-08-2011 18:22,42,05-08-2011 18:34
8216,Closed,2098,05-08-2011 18:38,22,05-08-2011 19:13
8218,Closed,631,05-08-2011 18:38,36,05-08-2011 18:49
8246,Closed,2921,05-08-2011 18:52,52,05-08-2011 19:41
8254,Closed,330,05-08-2011 18:55,39,05-08-2011 19:00
8284,Closed,298,05-08-2011 19:08,14,05-08-2011 19:13
8349,Closed,1106,05-08-2011 19:52,41,05-08-2011 20:10
8364,Closed,157,05-08-2011 20:02,11,05-08-2011 20:05
8401,Closed,2213,05-08-2011 20:42,39,05-08-2011 21:19
8439,Closed,1637,05-08-2011 21:15,5,05-08-2011 21:43
8448,Closed,277,05-08-2011 21:22,9,05-08-2011 21:26
8533,Closed,5351,05-08-2011 22:26,53,05-08-2011 23:55
8584,Closed,446,05-08-2011 22:57,45,05-08-2011 23:04
8720,Closed,1288,06-08-2011 01:22,52,06-08-2011 01:43
8721,Closed,542,06-08-2011 01:22,52,06-08-2011 01:31
8730,Closed,721,06-08-2011 01:47,41,06-08-2011 01:59
8801,Closed,704,06-08-2011 02:53,44,06-08-2011 03:05
8818,Closed,298,06-08-2011 03:51,44,06-08-2011 03:56
8843,Closed,128,06-08-2011 07:44,45,06-08-2011 07:47
8863,Closed,1302,06-08-2011 08:17,44,06-08-2011 08:39
8875,Closed,1781,06-08-2011 08:47,53,06-08-2011 09:17
8922,Closed,2974,06-08-2011 09:48,50,06-08-2011 10:38
8925,Closed,8,06-08-2011 09:47,50,06-08-2011 09:47
8981,Closed,645,06-08-2011 10:36,16,06-08-2011 10:47
9012,Closed,249,06-08-2011 11:00,48,06-08-2011 11:04
9130,Closed,702,06-08-2011 12:07,15,06-08-2011 12:19
9167,Closed,341,06-08-2011 12:27,37,06-08-2011 12:33
9187,Closed,292,06-08-2011 12:37,43,06-08-2011 12:42
9199,Closed,1064,06-08-2011 12:41,41,06-08-2011 12:59
9225,Closed,8216,06-08-2011 12:48,21,06-08-2011 15:05
9242,Closed,354,06-08-2011 12:54,16,06-08-2011 13:00
9255,Closed,18469,06-08-2011 13:00,27,06-08-2011 18:08
9271,Closed,6574,06-08-2011 13:08,40,06-08-2011 14:57
9287,Closed,6080,06-08-2011 13:14,50,06-08-2011 14:56
9291,Closed,546,06-08-2011 13:15,36,06-08-2011 13:24
9292,Closed,1573,06-08-2011 13:15,34,06-08-2011 13:41
9326,Closed,1484,06-08-2011 13:25,14,06-08-2011 13:50
9370,Closed,1460,06-08-2011 13:48,33,06-08-2011 14:13
9393,Closed,68780,06-08-2011 13:58,44,07-08-2011 09:04
9414,Closed,4857,06-08-2011 14:06,52,06-08-2011 15:27
9480,Closed,213,06-08-2011 14:29,32,06-08-2011 14:32
9516,Closed,1060,06-08-2011 14:40,36,06-08-2011 14:58
9539,Closed,4051,06-08-2011 14:49,43,06-08-2011 15:57
9603,Closed,306,06-08-2011 15:09,23,06-08-2011 15:14
9617,Closed,1351,06-08-2011 15:12,48,06-08-2011 15:35
9625,Closed,656,06-08-2011 15:16,9,06-08-2011 15:27
9629,Closed,658,06-08-2011 15:18,36,06-08-2011 15:29
9653,Closed,5867,06-08-2011 15:33,9,06-08-2011 17:11
9657,Closed,3883,06-08-2011 15:36,39,06-08-2011 16:40
9679,Closed,318,06-08-2011 15:38,21,06-08-2011 15:44
9755,Closed,365,06-08-2011 16:22,52,06-08-2011 16:28
9795,Closed,1123,06-08-2011 16:42,42,06-08-2011 17:01
9854,Closed,748,06-08-2011 17:22,45,06-08-2011 17:34
9857,Closed,1339,06-08-2011 17:27,36,06-08-2011 17:49
9874,Closed,546,06-08-2011 17:32,52,06-08-2011 17:41
9902,Closed,1065,06-08-2011 17:48,14,06-08-2011 18:06
9932,Closed,759,06-08-2011 18:03,32,06-08-2011 18:15
9965,Closed,860,06-08-2011 18:23,42,06-08-2011 18:38
10062,Closed,2466,06-08-2011 19:01,16,06-08-2011 19:42
10065,Closed,5256,06-08-2011 19:03,32,06-08-2011 20:30
10081,Closed,2490,06-08-2011 19:06,49,06-08-2011 19:47
10140,Closed,1301,06-08-2011 19:39,33,06-08-2011 20:01
10151,Closed,1274,06-08-2011 19:43,35,06-08-2011 20:04
10160,Closed,1178,06-08-2011 19:47,9,06-08-2011 20:07
10162,Closed,1897,06-08-2011 19:47,52,06-08-2011 20:18
10173,Closed,1566,06-08-2011 19:51,8,06-08-2011 20:17
10186,Closed,1601,06-08-2011 19:57,32,06-08-2011 20:24
10231,Closed,392,06-08-2011 20:20,20,06-08-2011 20:27
10233,Closed,1552,06-08-2011 20:21,46,06-08-2011 20:47
10255,Closed,436,06-08-2011 20:35,52,06-08-2011 20:42
10267,Closed,557,06-08-2011 20:39,20,06-08-2011 20:48
10286,Closed,1228,06-08-2011 20:55,21,06-08-2011 21:16
10306,Closed,911,06-08-2011 21:12,50,06-08-2011 21:28
10335,Closed,1511,06-08-2011 21:37,41,06-08-2011 22:02
10337,Closed,1347,06-08-2011 21:40,41,06-08-2011 22:02
10373,Closed,852,06-08-2011 22:28,16,06-08-2011 22:42
10392,Closed,696,06-08-2011 22:49,52,06-08-2011 23:01
10406,Closed,815,06-08-2011 23:05,5,06-08-2011 23:18
10512,Closed,1382,07-08-2011 01:35,17,07-08-2011 01:58
10556,Closed,467,07-08-2011 03:17,9,07-08-2011 03:25
10590,Closed,22986,07-08-2011 10:58,47,07-08-2011 17:21
10615,Closed,936,07-08-2011 13:41,9,07-08-2011 13:57
10619,Closed,166,07-08-2011 14:09,53,07-08-2011 14:12
10656,Closed,207,07-08-2011 16:16,9,07-08-2011 16:20
10665,Closed,5065,07-08-2011 16:27,44,07-08-2011 17:51
10672,Closed,621,07-08-2011 16:37,39,07-08-2011 16:47
10682,Closed,1275,07-08-2011 16:52,30,07-08-2011 17:13
10750,Closed,1446,07-08-2011 18:01,44,07-08-2011 18:26
10779,Closed,1469,07-08-2011 18:22,25,07-08-2011 18:46
10781,Closed,432,07-08-2011 18:22,21,07-08-2011 18:29
10806,Closed,688,07-08-2011 18:42,40,07-08-2011 18:54
10810,Closed,789,07-08-2011 18:45,9,07-08-2011 18:58
10814,Closed,757,07-08-2011 18:46,23,07-08-2011 18:58
10821,Closed,428,07-08-2011 18:48,44,07-08-2011 18:55
10834,Closed,1343,07-08-2011 18:57,52,07-08-2011 19:19
10836,Closed,5022,07-08-2011 19:01,46,07-08-2011 20:25
10860,Closed,1595,07-08-2011 19:14,44,07-08-2011 19:41
10863,Closed,2702,07-08-2011 19:16,42,07-08-2011 20:01
10877,Closed,2703,07-08-2011 19:28,23,07-08-2011 20:13
10881,Closed,1442,07-08-2011 19:27,15,07-08-2011 19:51
10995,Closed,491,07-08-2011 21:12,36,07-08-2011 21:20
11034,Closed,588,07-08-2011 21:50,52,07-08-2011 21:59
11052,Closed,1524,07-08-2011 22:26,22,07-08-2011 22:51
11058,Closed,816,07-08-2011 22:43,35,07-08-2011 22:57
11066,Closed,563,07-08-2011 22:58,30,07-08-2011 23:08
11105,Closed,633,08-08-2011 00:55,33,08-08-2011 01:06
11117,Closed,1505,08-08-2011 02:06,44,08-08-2011 02:31
11121,Closed,1591,08-08-2011 02:30,24,08-08-2011 02:57
11142,Closed,606,08-08-2011 06:18,38,08-08-2011 06:28
11234,Closed,1627,08-08-2011 08:22,17,08-08-2011 08:50
11245,Closed,744,08-08-2011 08:28,22,08-08-2011 08:41
11315,Closed,24479,08-08-2011 09:31,23,08-08-2011 16:19
11332,Closed,616,08-08-2011 10:05,42,08-08-2011 10:15
11340,Closed,5436,08-08-2011 10:19,52,08-08-2011 11:50
11386,Closed,17147,08-08-2011 11:35,23,08-08-2011 16:21
11404,Closed,24188,08-08-2011 11:51,36,08-08-2011 18:34
11426,Closed,23426,08-08-2011 12:16,48,08-08-2011 18:47
11430,Closed,23468,08-08-2011 12:16,48,08-08-2011 18:47
11440,Closed,180,08-08-2011 12:22,21,08-08-2011 12:25
11488,Closed,545,08-08-2011 13:21,33,08-08-2011 13:30
11495,Closed,239,08-08-2011 13:26,52,08-08-2011 13:30
11498,Closed,895,08-08-2011 13:29,25,08-08-2011 13:44
11502,Closed,296,08-08-2011 13:40,53,08-08-2011 13:44
11514,Closed,347,08-08-2011 13:50,32,08-08-2011 13:56
11519,Closed,474,08-08-2011 13:53,49,08-08-2011 14:01
11526,Closed,439,08-08-2011 14:08,35,08-08-2011 14:15
11551,Closed,323,08-08-2011 14:43,47,08-08-2011 14:49
11562,Closed,632,08-08-2011 15:03,44,08-08-2011 15:14
11577,Closed,1317,08-08-2011 15:35,5,08-08-2011 15:57
11685,Closed,275,08-08-2011 17:03,21,08-08-2011 17:08
11701,Closed,1208,08-08-2011 17:08,48,08-08-2011 17:28
11715,Closed,609,08-08-2011 17:26,32,08-08-2011 17:36
11803,Closed,660,08-08-2011 18:32,36,08-08-2011 18:43
11846,Closed,1086,08-08-2011 19:03,33,08-08-2011 19:22
11876,Closed,141,08-08-2011 19:24,45,08-08-2011 19:26
11962,Closed,451,08-08-2011 20:30,24,08-08-2011 20:38
11974,Closed,383,08-08-2011 20:39,8,08-08-2011 20:45
11981,Closed,471,08-08-2011 20:43,21,08-08-2011 20:51
11987,Closed,1722,08-08-2011 20:56,46,08-08-2011 21:24
11995,Closed,255,08-08-2011 21:00,32,08-08-2011 21:04
12004,Closed,13,08-08-2011 21:06,11,08-08-2011 21:06
